;PRINGSEWU;;Pagelaran;16;Pujiharjo;Aman;Aman
;PRINGSEWU;;Pagelaran;18;Sukaratu;Aman;Aman
;PRINGSEWU;;Pagelaran;19;Sukawangi;Aman;Aman
;PRINGSEWU;;Pagelaran;20;Sumberejo;Siaga;Siaga
;PRINGSEWU;;Pagelaran;21;Tanjung Dalam;Aman;Aman
;PRINGSEWU;8;Pringsewu;1;Bumiarum;Aman;Aman
;PRINGSEWU;;Pringsewu;2;Bumiayu;Aman;Aman
;PRINGSEWU;;Sukoharjo;2;Pandansari;Aman;Aman
;PRINGSEWU;;Sukoharjo;3;Pandansari Selatan;Siaga;Siaga
;PRINGSEWU;;Sukoharjo;4;Pandansurat;Aman;Aman
;PRINGSEWU;;Sukoharjo;6;Panggungrejo Utara;Aman;Aman
